I (804998) MPU6050: g_total(raw)=0.990 g (ax=0.003, ay=-0.794, az=-0.592)
I (805098) MPU6050: g_total(raw)=0.988 g (ax=0.012, ay=-0.793, az=-0.589)
I (805198) MPU6050: g_total(raw)=0.987 g (ax=0.014, ay=-0.786, az=-0.597)
I (805298) MPU6050: g_total(raw)=0.991 g (ax=0.004, ay=-0.788, az=-0.601)
I (805398) MPU6050: g_total(raw)=0.977 g (ax=0.011, ay=-0.775, az=-0.594)
I (805498) MPU6050: g_total(raw)=0.983 g (ax=0.010, ay=-0.780, az=-0.598)
I (805598) MPU6050: g_total(raw)=0.984 g (ax=0.019, ay=-0.778, az=-0.602)
I (805698) MPU6050: g_total(raw)=0.979 g (ax=0.007, ay=-0.766, az=-0.609)
I (805798) MPU6050: g_total(raw)=0.983 g (ax=0.013, ay=-0.773, az=-0.607)
I (805898) MPU6050: g_total(raw)=0.989 g (ax=0.011, ay=-0.767, az=-0.625)
I (805998) MPU6050: g_total(raw)=0.980 g (ax=0.008, ay=-0.760, az=-0.617)
I (806098) MPU6050: g_total(raw)=0.981 g (ax=0.006, ay=-0.763, az=-0.616)
I (806198) MPU6050: g_total(raw)=0.979 g (ax=0.012, ay=-0.759, az=-0.618)
I (806298) MPU6050: g_total(raw)=0.985 g (ax=0.006, ay=-0.757, az=-0.630)
I (806398) MPU6050: g_total(raw)=0.980 g (ax=-0.007, ay=-0.756, az=-0.623)
I (806498) MPU6050: g_total(raw)=0.986 g (ax=0.001, ay=-0.761, az=-0.627)
I (806598) MPU6050: g_total(raw)=0.979 g (ax=0.001, ay=-0.749, az=-0.631)
I (806698) MPU6050: g_total(raw)=0.989 g (ax=0.011, ay=-0.752, az=-0.642)
I (806798) MPU6050: g_total(raw)=0.987 g (ax=0.007, ay=-0.755, az=-0.636)
I (806898) MPU6050: g_total(raw)=0.985 g (ax=0.006, ay=-0.739, az=-0.651)
I (806998) MPU6050: g_total(raw)=0.985 g (ax=0.010, ay=-0.745, az=-0.645)
I (807098) MPU6050: g_total(raw)=0.985 g (ax=0.012, ay=-0.736, az=-0.654)
I (807198) MPU6050: g_total(raw)=0.983 g (ax=0.020, ay=-0.737, az=-0.649)
I (807298) MPU6050: g_total(raw)=0.988 g (ax=0.005, ay=-0.739, az=-0.656)
I (807398) MPU6050: g_total(raw)=0.986 g (ax=0.003, ay=-0.731, az=-0.662)
I (807498) MPU6050: g_total(raw)=0.981 g (ax=0.004, ay=-0.729, az=-0.657)
I (807598) MPU6050: g_total(raw)=0.979 g (ax=0.008, ay=-0.731, az=-0.651)
I (807698) MPU6050: g_total(raw)=0.985 g (ax=0.001, ay=-0.731, az=-0.660)
I (807798) MPU6050: g_total(raw)=0.982 g (ax=0.010, ay=-0.726, az=-0.662)
I (807898) MPU6050: g_total(raw)=0.980 g (ax=0.006, ay=-0.729, az=-0.656)
I (807998) MPU6050: g_total(raw)=0.972 g (ax=0.003, ay=-0.719, az=-0.655)
I (808098) MPU6050: g_total(raw)=0.977 g (ax=0.020, ay=-0.719, az=-0.661)
I (808198) MPU6050: g_total(raw)=0.984 g (ax=0.010, ay=-0.712, az=-0.680)
I (808298) MPU6050: g_total(raw)=0.987 g (ax=-0.001, ay=-0.718, az=-0.677)
I (808398) MPU6050: g_total(raw)=0.987 g (ax=0.006, ay=-0.715, az=-0.681)
I (808498) MPU6050: g_total(raw)=0.985 g (ax=0.003, ay=-0.716, az=-0.676)
